iso3166,gender,race,age,language,progress_10_years_tr
UK,woman,white,25 to 34,,
UK,woman,white,25 to 34,pl,
CA,,,,,
CH,woman,racial_identity_not_listed,45 to 54,de,"Equality and respect at work, the same AHV for women* as for men, tampon tax abolished, racism and domestic violence are severely punished and women* are better protected. Marriage for all with all rights."
BE,gender_not_listed,asian,35 to 44,en,More women in high political positions. Accessible rducation.
US,woman,white,55 to 64,en,"We no longer need to be counting women in power because it will be the norm and that women EVERYWHERE can legally and freely learn, love, govern, speak, drive, travel, determine what happens to their bodies.   "
UK,woman,black_or_of_african_descent,35 to 44,en,More women of colour in politics 
US,woman,asian+south_asian,25 to 34,en,"Governments, cultures, and societies showing respect for and awareness of women’s choices related to their bodies, who they choose to be and what they choose to think. A genuine broadening of the category of ‘women’ and the category of ‘human.’ Economic compensation for women’s work. Political acknowledgement of women’s dignity and legitimacy through laws that prioritize the eradication of abuse, dominance,  and discrimination. "
US,,,,en,
US,cisgender_man+man,white,25 to 34,en,"Seeing women in more positions of power in every field of work. Reshaping patriarchal social structures around the world, providing more education and freedom to choose."
US,woman,white,35 to 44,,
AU,woman,white,45 to 54,en,"Less violence and abuse against women, work place arrangements that better allow women to care for their children while working (and not to give their children to someone else to care for, but to actually be able to be close to and care for their children while working), men who are better educated to communicate more effectively with women and to manage their emotions and responsibilities as men towards society,  their wives and families, better."
CH,cisgender_woman+woman,white,55 to 64,en,Gender and salarial equality  for all 
CH,woman,asian+biracial_or_mixed,45 to 54,en,"Equal salary \r\nSocial services should be more objective and logical \r\nPolitical parties should reflect diversity, females, POC, LGT, etc. "
CA,woman,white,45 to 54,en,"Equal pay, reproductive rights, safety"
SG,woman,asian,35 to 44,en,Freedom of speech and power
KG,,,,en,
US,woman,white,65 to 74,en,More women in positions of real power. Half of all lawmakers need to be women. 
ZW,woman,black_or_of_african_descent,18 to 24,en,
ZW,woman,black_or_of_african_descent,25 to 34,en,Women who are free to live there best lives with no free of social stereotypes.\r\nAn equal and fair playing ground for men and women. Women are constrained in so many and are expected to perform as much as men.\r\nWomen who have the right go do what they want with their bodies and make decisions about their own lives.\r\nEducated women\r\nMore women in leadership and policy making.\r\nHappy women
US,cisgender_woman+woman,white,25 to 34,en,"Paid maternity leave, equal pay, unlimited access to reproductive healthcare including abortion and contraceptives, also a societal shift in expectations for men to use contraceptives (male birth control, vasectomy), a woman US president, and at least 50% of Congress and/or the Supreme Court being women. "
CH,woman,indigenous,55 to 64,de,"Ensuring equality, freedom, non-violence, dignity, security of ecisrenz, fundamental rights and self-determination for all "
ZW,,,,,
CH,cisgender_woman+woman,white,25 to 34,,
GR,woman,white,45 to 54,en,"The public social workers do not allow me to adopt, they express too many barriers, and I am single. I think that the family law will change in the future, but I am afraid it will be too late for me, I am 52 already, I am too angry with this situation, I have no freedom!"
ZA,,,,en,
MN,,,,en,
UK,woman,middle_eastern,35 to 44,en,Complete bodily autonomy and agency
UK,,,,,
UK,woman,choose_not_to_identify,25 to 34,en,A female president of the US
UK,woman,white,25 to 34,en,Freedom over our own bodies and salary transparency at work
UK,woman,white,25 to 34,en,One where relationships in society are not based on exploitation but on respect and empathy for each other.
ZW,woman,black_or_of_african_descent,18 to 24,en,Steps being taken towards ending period poverty. 
US,,,,,
SE,woman,white,65 to 74,en,"US is an important partner. Biden har started with more women in the congress, instead of the catastrophal situation today with just white, old men. It will change much. When women will be payed like men, they have the power to leave. "
MT,non_conforming_or_non_binary+woman,white,18 to 24,en,"Bodily autonomy, addressing policies and laws and reforming them to safeguard women in abusive situations, better education with egalitarian ideals "
UK,cisgender_woman+woman,biracial_or_mixed+middle_eastern+white,25 to 34,en,"True equality of opportunities, an end to stigma and objectification of the female body, and intersectionality in all work and social spaces."
UK,woman,white,25 to 34,en,"getting much, MUCH closer to, if not achieving, bell hook'`s definition of feminism: an end to sexism, sexist exploitation, and oppression"
FR,,,,,
US,cisgender_woman,white,25 to 34,en,Access to birth control and feminine hygiene products. 
UK,woman,white,25 to 34,,
NL,woman,white,25 to 34,en,"A progress in gender equality. To make voices of those who cannot speak up count. To change political agendas and hold ourselves, as one nation, accountable for the environmental emergency. "
SG,,,,,
UK,cisgender_woman+woman,white,25 to 34,en,Chronically ill women being able to get support and diagnosis without being gaslit by doctors 
UK,cisgender_woman+woman,white,18 to 24,en,"Better sexual health education. One that thoroughly discusses all the nuances of consent, LGBTQ sex, female pleasure, etc."
UK,gender_choose_not_to_identify,white,25 to 34,en,"More women in positions of governmental, judicial, and legislative power globally. In the UK, mortality of black pregnant people to reduce in line with their white counterparts. Gender reassignments to be made free and easily accessible for all ages. All children globally to be in school. "
UK,woman,white,35 to 44,en,"That there is no automatic assumption about what role women play in families, organisations, communities etc... that everyone is judged for their contribution to society not gender, looks,economics etc"
IT,,,,,
DK,,,,da,
DE,woman,middle_eastern+white,18 to 24,en,"Being able to exist in this world as womxn without the constant fear of being harassed, abused or killed. The protection of the LGBTQI+ community and transgender people specifically by the law. The recognition of emotional labour as real labour and the abolition of the gendered differences regarding this topic. The abolition of systems that uphold systemic racism and white supremacy. And hopefully so much more that we can'`t even imagine right now."
UK,gender_not_listed+non_conforming_or_non_binary,white,25 to 34,en,No gender based harassment. The binary is so harmful in keeping us all in ‘our places’
UK,woman,white,25 to 34,en,"Equal pay, women being celebrated in the workplace aswell as in the home, bring treated as equals in the workplace, having access to the same educational experiences whether in state or private school experience "
UK,woman,white,25 to 34,en,True application of woman’s biology. 
UK,,,,,
KE,woman,black_or_of_african_descent,18 to 24,en,"Having a Gender Balanced Political, economic and social Institutions, Free Dignity kits to women and girls, free education to all. To see Youth leadership in political processes in Africa Region. "
UK,woman,white,25 to 34,en,"Equal opportunities, equal pay and equal representation. "
UK,woman,white,35 to 44,en,Seeing more women in positions of power within business and politics. Continuing to make a change from within. 
UK,woman,white,45 to 54,,
UK,,,,,
UK,woman,white,25 to 34,en,Equal access to opportunities in all countries and reproductive freedom.
PT,woman,white,25 to 34,,
DE,cisgender_woman+woman,white,18 to 24,en,"No gender pay gap, every country in the world has women'`s human rights, more ""women'`s shelters"", more (intersectional) women in leadership positions"
CH,cisgender_woman+woman,indigenous,35 to 44,de,"Equality, equal pay, ending violence and sexual harassment.More women in politics and leadership positions.Better education, or better access to education."
UK,woman,white,18 to 24,en,"In ten years women should be leaders in every government around the world.\r\nWomen will not have to fear sexual harassment at work, at home, or on the streets. Women will have access to health care and full bodily autonomy. All women will support all women and gender nonconforming people. Women will join together and will champion the cause of racial equality, and the lgbtqia+ rights. All girls will grow up knowing their true value as human beings and feel secure in the knowledge that they can truly do anything. "
UK,,,,en,
CA,woman,black_or_of_african_descent,25 to 34,,
ZW,woman,black_or_of_african_descent,25 to 34,,
UK,,,,,
UK,woman,white,25 to 34,en,"Women are represented at a minimum 50/50 in local and national politics. Women are represented at a minimum 50/50 on boards across charity, public and private sector. The gender pay gap is gone. It is common for men and women to split paternity leave, maternity leave lasts for a 3 years so there isn'`t the gap of childcare from 1-3 years in the UK where you don'`t get money for nursery until your child is 3 years old. Carers leave is also a statutory benefit that all employers must abide by."
UK,cisgender_woman,white,35 to 44,en,Lifting POC women. None of us are free until all of us are free.
CN,woman,asian,45 to 54,en,More equal than before 
CH,,,,,
UK,woman,white,25 to 34,,
UK,cisgender_woman+woman,white,25 to 34,en,"Women and trans women being part of solutions and no longer being treated as an after thought. Women no longer bearing the brunt of war, violence, sexual harassment, climate change, attacks on reproductive justice, lack of worker'`s rights and job security. Decriminalization of drugs, sex work and abortion, world wide. Dismantling of laws and regulations that lead to trafficking and women being exploited. Defunding of police with that money being funnled into education, support for the arts and low-income support."
UK,woman,white,35 to 44,en,No discrimination \r\nEqual pay\r\nEqual rights\r\nMore women and non gender conforming people in positions of influence and power
UK,man+transgender_man,white,18 to 24,en,"Abortion rights, aswell as stigma free healthcare. Freedom from the male gaze will open whole other worlds of freedom for women. Having people where I live learn about third world feminism and FGM. Women being able to exist in their lives and do the things that make them happy without criticism. "
UK,,,,,
UK,woman,white,25 to 34,en,"More female leaders, less “gender” labelled jobs and equality across expectations "
IE,non_conforming_or_non_binary+transgender_woman+woman,white,18 to 24,en,"The neutralisation of professions (eg. Postman =>  Postperson). Changes from a young age prevent subconcious discrimination. Equal opportunities for all (including non-binary and trans* people). Maternity leave, to encourage both parents being part of a child'`s upbringing. Larger representation at political, managerial and leadership levels. Removal of tax and/or price of sanitary products for all"
US,woman,white,45 to 54,en,"All humans, regardless of genitalia,  receive full respect, have access to healthcare and are encouraged (and have the means) to reach their full potential. "
DE,cisgender_woman+woman,white,35 to 44,de,Right to decide on reproduction does not achieve discrimination on the basis of sexual identity
CA,non_conforming_or_non_binary+woman,white,35 to 44,en,"Just live for Black Lives Matter, not having to hold up signs that say '`We count'` - for persons of all gender identities"
CA,,,,,
UK,woman,white,18 to 24,,
UK,,,,,
CH,woman,white,25 to 34,en,
US,cisgender_woman+woman,white,35 to 44,en,No laws governing our bodies and equal access to reproductive health services 
UK,woman,white,35 to 44,en,"That we don'`t have to ask questions like that anymore, because questions or polls like that indicate that women are not equal to men!"
UK,,,,en,
US,woman,white,55 to 64,en,"All women exist safely and with full control over their bodies, relationships and education "
UK,woman,white,25 to 34,en,"Reproductive, sexual and bodily autonomy. Equal rights in the work place. Increased feeling of personal safety."
CH,,,,,
US,,,,,
UK,woman,white,25 to 34,en,"Intersectional - less of a “broad strokes” approach and more of a focus on the intersectional systems of oppression that affect women differently depending upon their demographic background, eg systemic racism, sexism, cissexism, heterosexism, socio-economic status, ableism etc."
US,cisgender_woman+woman,white,65 to 74,en,"In ten years, my granddaughter(s?) will be of reproductive age and likely entering the paid workforce. I would like for the paths available to them to be more diverse than what was possible for me, my sister, my niece, or other women everywhere.  "
US,woman,white,75 or older,en,
US,woman,white,65 to 74,en,
DE,cisgender_woman+woman,white,18 to 24,en,"Advertising without extreme display of ""traditional"" gender roles, legalisation of publicly informing about abortion, not using religion and tradition to justify homophobia and sexism"
US,woman,white,65 to 74,en,Parental leave for both men and women. Equal parenting responsibilities. 
UK,woman,biracial_or_mixed,25 to 34,en,"More women of differing colour, sexuality, gender and background in positions of leadership and authority. No longer having to protect ourselves from violent and oppressive men. No women having to suffer through period poverty."
US,woman,white,65 to 74,en,ERA passed and enforced
US,,,,en,
CA,woman,white,35 to 44,fr,
PL,,,,en,
US,woman,white,55 to 64,en,More opportunity  in al. Different new areas
US,cisgender_woman,white,55 to 64,en,"more women in politics, stronger laws against rapists, equal pay"
US,woman,white,65 to 74,en,"more women in positions of power, more choices "
US,woman,white,25 to 34,en,"In ten years, I hope that the phrase ""women'`s rights"" isn'`t used as much because it should be assumed women are equal in all aspects of society.  In ten years, I also hope that there are enough women in positions of power that the advocacy for other women to join those positions is natural and widespread.  "
DE,cisgender_woman+woman,white,35 to 44,en,"Not living in fear, equal pay, racial inclusion/equity."
BE,woman,biracial_or_mixed,25 to 34,en,Equal pay; reduced domestic violence; increased female political & business leadership 
UK,cisgender_woman+woman,white,18 to 24,en,Social Equity
US,,,,,
UK,,,,,
EE,woman,white,35 to 44,en,"Women and workers are represented in politics at all levels, and politicians are not career hunters but people who care about society."
CR,,,,,
CA,cisgender_woman+woman,white,55 to 64,en,Hopefully greater than the last ten years. So much has happened recently and I am hopeful that those things will be a catalyst for change
IE,woman,white,35 to 44,en,"No need to fight for the rights, but continue to work and develop areas of life."
UK,cisgender_woman,white,18 to 24,en,"Women have bodily autonomy, economic freedom and feel safe"
IN,cisgender_woman+woman,asian+south_asian,18 to 24,en,"THE FREEDOM TO BE EDUCATED AND MARRY BY CHOICE.  \r\nA radical shift in social perspective regarding bodily autonomy and what constitutes as harassment and violence. \r\nMore spaces being open to women and gender nonconforming people - not just in terms of high profile jobs, but even as autodrivers, bus drivers, bus conductors, etc (but that requires a huge shift in the economy because there already aren'`t enough jobs). Also, being able to walk alone at night,  although it doesn'`t y feel like ten years will be enough to achieve that.  \r\nNot having to be okay with the bare minimum in terms of representation for women (India'`s first mainstream movie about lesbians passed the bechdel test because if ONE scene that lasted 60seconds).\r\nUnderstanding intersectional feminism within the Indian context - respect and opportunity for dalit women, Muslim women not being patronised for practising their religion.  "
US,woman,white,65 to 74,en,Acceptance ands respect for all 
US,woman,white,25 to 34,en,Equity for all women and gender-diverse people
US,woman,white,45 to 54,en,"Real and consistent punishment for domestic abusers, abortion on demand, freedom of gender/sexual expression for women everywhere, real solutions to climate change being implemented globally. "
